id	type	modified	language	rights	rightsHolder	bibliographicCitation	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	individualCount	sex	lifeStage	preparations	disposition	eventDate	year	month	day	verbatimEventDate	habitat	eventRemarks	locationID	continent	waterBody	country	countryCode	stateProvince	locality	verbatimElevation	minimumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
NMR996800022532	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium eurous (Leech, 1893) (NMR 996800022532)"	NMR	Insecta	PreservedSpecimen	NMR996800022532	NMR996800022532		1			imago	in collection	1999-07-00	1999	7	0					Asia		China	CN-51	Sichuan	"Lushan, Dabaiyan Mt."		3000	30.474167	103	WGS84			F.J.A. Slieker	"Phyllosphingia dissimilis  (Bremer, 1861)"		Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Phyllosphingia		eurous			"(Leech, 1893)"		ICZN	accepted	
NMR996800022533	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium tamerlanus (OberthÃ_r, 1876) (NMR 996800022533)"	NMR	Insecta	PreservedSpecimen	NMR996800022533	NMR996800022533		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-51	Sichuan	Mt. Kongashan			0	0					"Phyllosphingia dissimilis  (Bremer, 1861)"		Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Phyllosphingia		tamerlanus			"(OberthÃ_r, 1876)"		ICZN	accepted	
NMR996800022534	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium tamerlanus (OberthÃ_r, 1876) (NMR 996800022534)"	NMR	Insecta	PreservedSpecimen	NMR996800022534	NMR996800022534		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-51	Sichuan	Mt. Kongashan			0	0					"Parnassius imperator  OberthÃ_r, 1883"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Parnassius		tamerlanus			"(OberthÃ_r, 1876)"		ICZN	accepted	
NMR996800022535	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium tamerlanus (OberthÃ_r, 1876) (NMR 996800022535)"	NMR	Insecta	PreservedSpecimen	NMR996800022535	NMR996800022535		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-51	Sichuan	Mt. Kongashan			0	0					"Parnassius delphius  (Eversmann, 1843)"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Parnassius		tamerlanus			"(OberthÃ_r, 1876)"		ICZN	accepted	
NMR996800022536	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium tamerlanus (OberthÃ_r, 1876) (NMR 996800022536)"	NMR	Insecta	PreservedSpecimen	NMR996800022536	NMR996800022536		1			imago	in collection	2002-06-00	2002	6	0					Asia		China	CN-51	Sichuan	Mt. Kongashan			0	0					"Parnassius orleans  OberthÃ_r, 1890"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Parnassius		tamerlanus			"(OberthÃ_r, 1876)"		ICZN	accepted	
NMR996800022537	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Graphium mullah (Alpheraky, 1897) (NMR 996800022537)"	NMR	Insecta	PreservedSpecimen	NMR996800022537	NMR996800022537		1			imago	in collection	2000-07-00	2000	7	0					Asia		China	CN-53	Yunnan	Yonten			0	0					"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		mullah			"(Alpheraky, 1897)"		ICZN	accepted	
NMR996800022539	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Graphium sarpedon (Linnaeus, 1758) (NMR 996800022539)"	NMR	Insecta	PreservedSpecimen	NMR996800022539	NMR996800022539		1			imago	in collection	6/11/09	2009	6	11					Asia		China	CN-51	Sichuan	Qingchengshan		700	30.883333	103.583333	WGS84			F.J.A. Slieker	"Papilio arcturus  Westwood, 1842"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		sarpedon			"(Linnaeus, 1758)"		ICZN	accepted	
NMR996800035525	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035525)"	NMR	Insecta	PreservedSpecimen	NMR996800035525	NMR996800035525		1			imago	in collection	6/17/09	2009	6	17					Asia		China	CN-51	Sichuan	"Jiuzhaigou Nature Reserve, near Nuorilong"		2460	33.160833	103.9125	WGS84			F.J.A. Slieker	"Papilio arcturus  Westwood, 1842"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035526	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035526)"	NMR	Insecta	PreservedSpecimen	NMR996800035526	NMR996800035526		1			imago	in collection	6/17/09	2009	6	17					Asia		China	CN-51	Sichuan	Qingchengshan		800	30.883333	103.583333	WGS84			F.J.A. Slieker	"Papilio arcturus  Westwood, 1842"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035527	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035527)"	NMR	Insecta	PreservedSpecimen	NMR996800035527	NMR996800035527		1			imago	in collection	7/8/10	2010	7	8					Asia		China	CN-51	Sichuan	"Jiuzhaigou Nature Reserve, near Nuorilong"		2460	33.160833	103.9125	WGS84			F.J.A. Slieker	"Papilio xuthus  Linnaeus, 1767"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
